Applicaiton	Config	Miss Rate	Hot Access	Cool Access	Remap Access	Average IPC	Max IPC	Average Time	Max Time
water.sp	cache_cpu101_no-remap	0.0408061	195150.0	2691584.0	0.0	1.4025	1.52	139727796.0	139727796
water.sp	cache_cpu101_remap0	0.145932	0.0	2607555.0	362838.0	1.3725	1.49	142725496.0	142725496
water.sp	cache_cpu101_remap1g	0.167869	0.0	2751599.0	362857.0	1.3675	1.48	143383796.0	143383796
water.sp	cache_cpu101_remap1l	0.165601	0.0	2682908.0	340312.0	1.3875	1.5	141140196.0	141140196
water.sp	cache_cpu102_no-remap	0.0388151	260233.0	2625678.0	0.0	1.4125	1.53	138737896.0	138737896
water.sp	cache_cpu102_remap0	0.170908	0.0	2550634.0	387450.0	1.3875	1.5	141147634.0	141147634
water.sp	cache_cpu102_remap1g	0.19418	0.0	2730207.0	395642.0	1.395	1.51	140495496.0	140495496
water.sp	cache_cpu102_remap1l	0.184802	0.0	2653874.0	411978.0	1.3925	1.51	140545896.0	140545896
water.sp	cache_cpu103_no-remap	0.0387654	296827.0	2592461.0	0.0	1.4425	1.56	135959196.0	135959196
water.sp	cache_cpu103_remap0	0.185353	0.0	2490731.0	336249.0	1.4225	1.54	137758996.0	137758996
water.sp	cache_cpu103_remap1g	0.195673	0.0	2734087.0	354681.0	1.4125	1.53	138857028.0	138857028
water.sp	cache_cpu103_remap1l	0.189737	0.0	2626405.0	344408.0	1.42	1.54	138248628.0	138248628
